event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56261.06529,16.06,0.009,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56261.06823,16.851,0.013,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56261.10,16.17,0.05,F,B,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56261.10,16.20,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,16.09,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,16.79,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,16.85,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,16.03,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,16.09,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,15.96,0.07,F,U,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56261.10,19.32,0.15,F,UVM2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56261.10,17.78,0.09,F,UVW1,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56261.10,18.89,0.13,F,UVW2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56261.10,16.01,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.10,16.14,0.07,F,V,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56261.10,17.01,0.01,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56261.1371,17.795,0.090,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56261.1381,16.002,0.064,F,U,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56261.1387,16.216,0.058,F,B,UVOT,Swift,2014Ap&SS.354...89B
