MJD,FLT,FLUXCAL,FLUXCALERR,MAG,MAGERR,TELESCOPE,INSTRUMENT,SHIFTMAG
58856.698,rp,33092.315,33092.315,16.201,1.0859999999999999,Siding Spring 1m,Sinistro,121.201
58856.699,ip,107415.73300000001,107415.73300000001,14.922,1.0859999999999999,Siding Spring 1m,Sinistro,91.922
58857.301,up,38271.287000000004,3164.723,16.043,0.09,Siding Spring 1m,Sinistro,135.043
58857.302,gp,64375.871,1573.994,15.478,0.027000000000000003,Siding Spring 1m,Sinistro,78.478
58857.303,rp,13530.348999999998,13530.348999999998,17.172,1.0859999999999999,Siding Spring 1m,Sinistro,122.172
58857.304000000004,ip,13538.572,13538.572,17.171,1.0859999999999999,Siding Spring 1m,Sinistro,94.17099999999999
58857.316,up,59855.497,59855.497,15.557,1.0859999999999999,Siding Spring 1m,Sinistro,134.557
58857.317,gp,12969.34,12969.34,17.218,1.0859999999999999,Siding Spring 1m,Sinistro,80.218
58857.318,rp,11389.313999999998,11389.313999999998,17.359,1.0859999999999999,Siding Spring 1m,Sinistro,122.35900000000001
58857.319,ip,12325.461000000001,12325.461000000001,17.273,1.0859999999999999,Siding Spring 1m,Sinistro,94.273
58857.345,up,38753.432,38753.432,16.029,1.0859999999999999,Siding Spring 1m,Sinistro,135.029
58857.347,gp,10585.774,10585.774,17.438,1.0859999999999999,Siding Spring 1m,Sinistro,80.438
58857.348,rp,9466.393,9466.393,17.56,1.0859999999999999,Siding Spring 1m,Sinistro,122.56
58857.349,ip,11866.383,11866.383,17.314,1.0859999999999999,Siding Spring 1m,Sinistro,94.314
58858.297999999995,up,45726.695999999996,2508.5660000000003,15.85,0.06,Siding Spring 1m,Sinistro,134.85
58858.3,gp,11539.016000000001,11539.016000000001,17.345,1.0859999999999999,Siding Spring 1m,Sinistro,80.345
58858.301,rp,83193.119,2246.689,15.2,0.028999999999999998,Siding Spring 1m,Sinistro,120.2
58858.309,ip,13015.898000000001,13015.898000000001,17.214000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,94.214
58858.337999999996,gp,93530.159,1156.239,15.073,0.013000000000000001,Siding Spring 1m,Sinistro,78.07300000000001
58858.34,rp,19424.279,19424.279,16.779,1.0859999999999999,Siding Spring 1m,Sinistro,121.779
58858.34099999999,ip,23390.539,23390.539,16.577,1.0859999999999999,Siding Spring 1m,Sinistro,93.577
58859.049000000006,up,36185.796,36185.796,16.104,1.0859999999999999,Siding Spring 1m,Sinistro,135.10399999999998
58859.051,gp,113381.599,1382.453,14.863,0.013000000000000001,Siding Spring 1m,Sinistro,77.863
58859.052,rp,8322.285,8322.285,17.699,1.0859999999999999,Siding Spring 1m,Sinistro,122.699
58859.053,ip,100541.51800000001,874.808,14.994000000000002,0.009000000000000001,Siding Spring 1m,Sinistro,91.994
58859.297,gp,116789.35699999999,1443.82,14.831,0.013000000000000001,Siding Spring 1m,Sinistro,77.831
58859.297999999995,rp,127773.69099999999,1290.442,14.734000000000002,0.011000000000000001,Siding Spring 1m,Sinistro,119.73400000000001
58859.3,ip,20393.147,20393.147,16.726,1.0859999999999999,Siding Spring 1m,Sinistro,93.726
58859.689000000006,gp,116007.56599999999,2847.756,14.839,0.027000000000000003,Siding Spring 1m,Sinistro,77.839
58859.69,rp,31152.866,31152.866,16.266,1.0859999999999999,Siding Spring 1m,Sinistro,121.26599999999999
58859.691,ip,27179.587000000003,27179.587000000003,16.414,1.0859999999999999,Siding Spring 1m,Sinistro,93.414
58860.047,up,48099.26,48099.26,15.795,1.0859999999999999,Siding Spring 1m,Sinistro,134.795
58860.047999999995,gp,15470.05,15470.05,17.026,1.0859999999999999,Siding Spring 1m,Sinistro,80.026
58860.049000000006,rp,18361.96,18361.96,16.84,1.0859999999999999,Siding Spring 1m,Sinistro,121.84
58860.051,ip,18323.541,18323.541,16.842,1.0859999999999999,Siding Spring 1m,Sinistro,93.842
58861.049000000006,up,71699.40400000001,71699.40400000001,15.360999999999999,1.0859999999999999,Siding Spring 1m,Sinistro,134.361
58861.05,gp,209865.035,2793.27,14.195,0.013999999999999999,Siding Spring 1m,Sinistro,77.195
58861.052,rp,195932.233,2176.277,14.27,0.012,Siding Spring 1m,Sinistro,119.27
58861.053,ip,180220.68899999998,2880.388,14.360999999999999,0.017,Siding Spring 1m,Sinistro,91.361
58861.292,gp,18979.946,18979.946,16.804000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,79.804
58861.293,rp,194612.319,1833.701,14.277000000000001,0.01,Siding Spring 1m,Sinistro,119.277
58861.294,ip,168428.16199999998,2433.716,14.434000000000001,0.016,Siding Spring 1m,Sinistro,91.434
58861.683,gp,35476.617,35476.617,16.125,1.0859999999999999,Siding Spring 1m,Sinistro,79.125
58861.685,rp,220661.11,2552.7929999999997,14.140999999999998,0.013000000000000001,Siding Spring 1m,Sinistro,119.14099999999999
58861.685999999994,ip,36635.75,36635.75,16.09,1.0859999999999999,Siding Spring 1m,Sinistro,93.09
58864.31,rp,502154.773,502154.773,13.248,1.0859999999999999,Siding Spring 1m,Sinistro,118.248
58864.312000000005,ip,301048.57899999997,301048.57899999997,13.802999999999999,1.0859999999999999,Siding Spring 1m,Sinistro,90.803
58864.752,up,125427.011,3291.5370000000003,14.754000000000001,0.027999999999999997,Siding Spring 1m,Sinistro,133.754
58864.754,gp,259044.703,3127.345,13.966,0.013000000000000001,Siding Spring 1m,Sinistro,76.966
58864.755,rp,282228.666,2920.478,13.873,0.011000000000000001,Siding Spring 1m,Sinistro,118.873
58864.755999999994,ip,246279.924,2574.056,14.022,0.011000000000000001,Siding Spring 1m,Sinistro,91.022
58866.302,up,111069.666,111069.666,14.886,1.0859999999999999,Siding Spring 1m,Sinistro,133.886
58866.304000000004,gp,27847.365,27847.365,16.387999999999998,1.0859999999999999,Siding Spring 1m,Sinistro,79.388
58866.305,rp,35424.7,35424.7,16.127,1.0859999999999999,Siding Spring 1m,Sinistro,121.127
58866.306,ip,43145.133,43145.133,15.913,1.0859999999999999,Siding Spring 1m,Sinistro,92.913
58867.3,up,65500.574,1839.614,15.459000000000001,0.031,Siding Spring 1m,Sinistro,134.459
58867.301,gp,207315.91100000002,2911.0429999999997,14.208,0.015,Siding Spring 1m,Sinistro,77.208
58867.302,rp,293646.356,1974.9879999999998,13.831,0.006999999999999999,Siding Spring 1m,Sinistro,118.831
58867.304000000004,ip,253272.389,2067.959,13.991,0.009000000000000001,Siding Spring 1m,Sinistro,90.991
58868.27099999999,up,102937.76800000001,102937.76800000001,14.969000000000001,1.0859999999999999,Siding Spring 1m,Sinistro,133.969
58868.27099999999,up,102937.76800000001,102937.76800000001,14.969000000000001,1.0859999999999999,Siding Spring 1m,Sinistro,133.969
58868.273,gp,192250.50600000002,3397.679,14.29,0.019,Siding Spring 1m,Sinistro,77.28999999999999
58868.274000000005,rp,294441.606,2107.901,13.828,0.008,Siding Spring 1m,Sinistro,118.828
58868.275,ip,15196.481000000002,15196.481000000002,17.046,1.0859999999999999,Siding Spring 1m,Sinistro,94.04599999999999
58869.269,up,69948.797,69948.797,15.388,1.0859999999999999,Siding Spring 1m,Sinistro,134.388
58869.27,gp,170233.812,1689.432,14.422,0.011000000000000001,Siding Spring 1m,Sinistro,77.422
58869.27099999999,rp,12150.152,12150.152,17.289,1.0859999999999999,Siding Spring 1m,Sinistro,122.289
58869.273,ip,214767.415,3967.6020000000003,14.17,0.02,Siding Spring 1m,Sinistro,91.17
58870.265999999996,up,82455.17,82455.17,15.209000000000001,1.0859999999999999,Siding Spring 1m,Sinistro,134.209
58870.267,gp,13889.151000000002,13889.151000000002,17.143,1.0859999999999999,Siding Spring 1m,Sinistro,80.143
58870.268,rp,15377.983999999999,15377.983999999999,17.033,1.0859999999999999,Siding Spring 1m,Sinistro,122.033
58870.27,ip,14616.755,14616.755,17.088,1.0859999999999999,Siding Spring 1m,Sinistro,94.088
58871.264,up,100494.26,100494.26,14.995,1.0859999999999999,Siding Spring 1m,Sinistro,133.995
58871.265,gp,15258.079,15258.079,17.041,1.0859999999999999,Siding Spring 1m,Sinistro,80.041
58871.265999999996,rp,18706.828999999998,18706.828999999998,16.82,1.0859999999999999,Siding Spring 1m,Sinistro,121.82
58871.268,ip,22187.145,22187.145,16.635,1.0859999999999999,Siding Spring 1m,Sinistro,93.635
58872.28599999999,up,32008.327999999998,32008.327999999998,16.237000000000002,1.0859999999999999,Siding Spring 1m,Sinistro,135.237
58872.287000000004,gp,9939.062,9939.062,17.507,1.0859999999999999,Siding Spring 1m,Sinistro,80.507
