MJD,umag,umagerr,gmag,gmagerr,rmag,rmagerr,imag,imagerr
58858.274000000005,15.694713245121054,0.018617689331119375,15.145841782751514,0.015950190594656986,15.21137039038604,0.015747589633444848,15.249261339795563,0.015899332436333798
58859.49848979592,15.378760633612188,0.022265458893744285,14.843719606154405,0.016311700457945073,14.725537792162605,0.015404688279081969,14.893805986350882,0.01751751872815694
58860.72297959184,15.064398861831316,0.025451112305611524,14.612330602530673,0.017574100587852026,14.398226884163915,0.016936012049526942,14.581398627232087,0.01902396367223439
58861.94746938776,14.81163006380913,0.028331980097952895,14.462373509010048,0.020311527515732737,14.190774932478824,0.01960792508190358,14.335737348264683,0.02086681044223307
58863.17195918368,14.672321948062638,0.029948045239364843,14.387038521704604,0.022490181914306944,14.061817985759674,0.021545524549010552,14.170305071830942,0.022129125325012412
58864.3964489796,14.68142251806488,0.029647086852037676,14.375059527429169,0.02283339213748368,13.980583289831213,0.02181647629173885,14.086771611160568,0.02186242567224465
58865.620938775515,14.847594257567973,0.028847099495166777,14.407548946075902,0.021153352712943583,13.92971937468446,0.020501068354553516,14.078931321210518,0.020555993253932727
58866.84542857143,15.156602765868492,0.029103885192281683,14.469344985668737,0.01861083865232703,13.906343122672794,0.018251328566986438,14.129745543574838,0.019233309492436672
58868.06991836735,15.571995491702896,0.03070935534692006,14.552165429129841,0.016502261887399585,13.916989953930557,0.015895146176410642,14.226114101775183,0.018920239504428563
58869.29440816327,15.787101162052913,0.031644489759822154,14.55243085623851,0.01594123132227872,13.952233710484489,0.014069877728839534,14.04449308141893,0.01917767295650038
58870.51889795919,16.266885887262347,0.030540847299640028,14.692315177264916,0.016654019902693773,14.063583802030688,0.013256990242999821,14.192646528011645,0.019208917417287526
58871.74338775511,16.66421813079048,0.027422645932057288,14.833380018037937,0.017466240875411293,14.186580491389114,0.013362456841727497,14.315960715532096,0.018836057446635916
58872.967877551026,16.956669835478777,0.02385527401127563,14.992989367130605,0.01817236303300399,14.325164155532896,0.013671390974359274,14.423988877611063,0.018601530279439473
58874.19236734694,17.14476761216566,0.022177502633705548,15.18081415893067,0.01865288078828486,14.474738600624093,0.013485075124213645,14.528781532344965,0.01942219523439821
58875.41685714286,17.23999663438247,0.023128757094557528,15.39360455379973,0.019230328817155876,14.631092203730823,0.01368071499873275,14.64029730452216,0.021578745875248072
58876.64134693878,17.265412302838296,0.02590952139039909,15.61519601528392,0.02038077602604029,14.785447546058828,0.014881670166493898,14.763139222382955,0.024661774663720243
58877.8658367347,17.24746830830901,0.029108290008368756,15.826632271385764,0.02160864294468321,14.937172060014671,0.017011135564408076,14.89869354224519,0.027834750263440382
58879.09032653062,17.209560212572526,0.032010013830762,16.006339343959013,0.022382976516342995,15.08549767195536,0.018834994729264094,15.037621227941747,0.029896466750303805
58880.314816326536,17.17104241050554,0.03409432683245543,16.139579995799828,0.02190018959845827,15.231434901240554,0.019213147383949043,15.169967529895672,0.03040156467057739
58881.53930612245,17.143799018136967,0.03488112698890383,16.222221623937635,0.020216092605145144,15.377413439751711,0.01791811119737019,15.289576151676233,0.029166891689369537
