AB flux density,AB flux density error,AB mag,AB mag err,AB mag limit,Exposure,Magnitude,Magnitude error,Magnitude limit,ObsID,Sigma,Time (MET),Wavelength,mag flux density,mag flux density err
9.17E-15,2.22E-16,16.18885422,0.02632663585,21.1334362,386.5702515,14.45885468,0.02632663585,19.40343666,sw00035227002,76.18132782,153101077.6,w2,8.81E-15,2.14E-16
9.31E-15,2.62E-16,15.9395256,0.03053745627,20.66067123,290.120697,14.24952602,0.03053745627,18.9706707,sw00035227002,56.61061096,153101529,m2,9.26E-15,2.61E-16
8.57E-15,2.10E-16,15.77956963,0.0265909303,20.47936249,288.1411438,14.26957035,0.0265909303,18.96936417,sw00035227003,73.80011749,153536096.4,w1,7.80E-15,1.91E-16
8.18E-15,2.34E-16,14.13973045,0.03110526875,17.91724396,143.4678955,14.14973068,0.03110526875,17.92724419,sw00035227003,61.5038414,153535427.4,vv,8.19E-15,2.35E-16
6.20E-15,1.68E-16,14.92455292,0.02940550633,18.51333618,121.0985489,15.05455303,0.02940550633,18.64333725,sw00035227003,62.45482254,153536460.5,bb,6.16E-15,1.67E-16
6.09E-15,1.67E-16,15.45022583,0.02980118059,19.51169586,143.435318,14.43022633,0.02980118059,18.49169731,sw00035227003,71.09976959,153536320.9,uu,5.96E-15,1.64E-16
9.36E-15,2.13E-16,16.16765213,0.02471655235,21.38926125,575.5264893,14.43765163,0.02471655235,19.6592598,sw00035227003,94.32224274,153535056,w2,8.98E-15,2.04E-16
9.38E-15,2.43E-16,15.9313612,0.02816839516,20.93108749,431.8513184,14.24136162,0.02816839516,19.24108887,sw00035227003,69.46024323,153535724.4,m2,9.33E-15,2.42E-16
1.14E-14,3.31E-16,15.47450542,0.03164969385,19.83295441,157.2478638,13.96450615,0.03164969385,18.32295418,sw00035227004,49.91740036,600173388.6,w1,1.03E-14,3.01E-16
9.44E-15,3.12E-16,13.98436451,0.03592235595,17.56795311,78.50989532,13.99436474,0.03592235595,17.57795334,sw00035227004,46.24755478,600174006.8,vv,9.45E-15,3.13E-16
8.28E-15,2.32E-16,14.6112175,0.0304047633,18.40242195,78.50991821,14.74121761,0.0304047633,18.53242111,sw00035227004,61.35450745,600173597.1,bb,8.22E-15,2.30E-16
8.35E-15,2.49E-16,15.10828209,0.03244694322,19.22973251,78.52074432,14.08828163,0.03244694322,18.20973206,sw00035227004,60.66159821,600173512.7,uu,8.17E-15,2.44E-16
1.23E-14,3.25E-16,15.87100124,0.02872011624,20.61230278,314.7346191,14.14100075,0.02872011624,18.88230324,sw00035227004,59.97913361,600173802.3,w2,1.18E-14,3.12E-16
1.12E-14,2.76E-16,15.74349594,0.02684495412,20.9234581,739.7305908,14.05349541,0.02684495412,19.23345947,sw00035227004,80.0375824,600174426.5,m2,1.11E-14,2.74E-16
1.18E-14,2.79E-16,15.43470287,0.02574348263,20.34646988,386.5596924,13.92470264,0.02574348263,18.83647156,sw00035227005,79.78949738,600202260.1,w1,1.07E-14,2.54E-16
1.03E-14,2.94E-16,13.88664436,0.03091011383,17.8517437,128.7106628,13.89664459,0.03091011383,17.86174393,sw00035227005,63.11927032,600203461.4,vv,1.03E-14,2.94E-16
8.31E-15,2.05E-16,14.60726547,0.026859859,18.67050362,128.7106171,14.73726559,0.026859859,18.80050278,sw00035227005,78.62787628,600202662.8,bb,8.25E-15,2.04E-16
8.34E-15,2.24E-16,15.10901165,0.02920713276,19.53565407,128.6997528,14.08901215,0.02920713276,18.51565552,sw00035227005,77.88947296,600202527.1,uu,8.17E-15,2.20E-16
1.29E-14,2.97E-16,15.8218689,0.02509469539,21.00127411,645.442627,14.0918684,0.02509469539,19.27127457,sw00035227005,87.94917297,600203062.4,w2,1.23E-14,2.85E-16
1.02E-14,3.05E-16,15.59495258,0.03264013305,19.85714531,157.2370605,14.08495235,0.03264013305,18.34714508,sw00035227006,46.91781616,600259457.4,w1,9.25E-15,2.78E-16
1.05E-14,3.36E-16,13.87298679,0.03487190977,17.55749893,78.4990921,13.88298607,0.03487190977,17.56749916,sw00035227006,49.61636353,600260075.3,vv,1.05E-14,3.36E-16
8.25E-15,2.31E-16,14.61432457,0.0304465089,18.39559555,78.52080536,14.74432468,0.0304465089,18.52559662,sw00035227006,61.13579559,600259665.7,bb,8.20E-15,2.30E-16
7.91E-15,2.39E-16,15.16675472,0.03274379671,19.27235222,78.52078247,14.14675426,0.03274379671,18.25235176,sw00035227006,58.78271484,600259581.5,uu,7.74E-15,2.34E-16
1.05E-14,2.88E-16,16.0422039,0.02981407382,20.62408257,314.7346802,14.31220436,0.02981407382,18.89408302,sw00035227006,55.0004425,600259871,w2,1.01E-14,2.77E-16
1.05E-14,2.62E-16,15.80865955,0.02710456401,20.93407059,735.5175171,14.11865997,0.02710456401,19.24407005,sw00035227006,77.28617096,600260493,m2,1.05E-14,2.61E-16
1.17E-14,3.06E-16,15.43757439,0.02826806344,20.09103203,236.9677277,13.92757416,0.02826806344,18.5810318,sw00035227009,62.74953079,600380158.7,w1,1.07E-14,2.78E-16
1.19E-14,3.69E-16,13.73253632,0.03367946297,17.52141762,78.50991821,13.74253559,0.03367946297,17.53141785,sw00035227009,54.45369339,600380899.5,vv,1.19E-14,3.70E-16
1.02E-14,2.73E-16,14.37908649,0.02895713039,18.33374596,78.52076721,14.50908661,0.02895713039,18.46374702,sw00035227009,71.85517883,600380408.5,bb,1.02E-14,2.72E-16
8.90E-15,2.61E-16,15.038414,0.0318884626,19.23884201,78.50991821,14.01841354,0.0318884626,18.21884155,sw00035227009,64.19332886,600380324.3,uu,8.72E-15,2.56E-16
1.26E-14,3.15E-16,15.84423637,0.02717491798,20.75480461,394.4498596,14.11423683,0.02717491798,19.02480507,sw00035227009,68.42546082,600380654.4,w2,1.21E-14,3.03E-16
1.16E-14,2.94E-16,15.70280457,0.02760571428,20.78045273,586.6091309,14.01280499,0.02760571428,19.0904541,sw00035227009,72.81674957,600381242.9,m2,1.15E-14,2.93E-16
1.14E-14,3.14E-16,15.47184849,0.02995445766,19.94400597,193.6612854,13.96184826,0.02995445766,18.43400574,sw00035227010,55.37189102,600432838.3,w1,1.04E-14,2.86E-16
1.01E-14,2.84E-16,14.39942265,0.03068668023,18.22478294,64.72995758,14.52942276,0.03068668023,18.35478401,sw00035227010,64.13066864,600433044.3,bb,1.00E-14,2.83E-16
9.15E-15,2.81E-16,15.00884724,0.03339694068,19.0933094,64.70824432,13.98884678,0.03339694068,18.07330894,sw00035227010,58.62444305,600432973.9,uu,8.96E-15,2.75E-16
1.26E-14,4.40E-16,15.84532547,0.03791408241,19.96091843,116.1034698,14.11532593,0.03791408241,18.23091888,sw00035227010,36.89684296,600433141.9,w2,1.21E-14,4.22E-16
1.12E-14,3.29E-16,15.48638248,0.03181827813,19.80430984,156.2522888,13.97638321,0.03181827813,18.29430962,sw00035227011,49.42370987,600512410.3,w1,1.02E-14,3.00E-16
