MJD,Bmag,Bmagerr,Vmag,Vmagerr
58858.274000000005,14.817271849137995,0.13216886350751536,14.74484176690747,0.1326679004854604
58859.49848979592,14.535180524654937,0.11863602726308424,14.440173312487538,0.11948532936433026
58860.72297959184,14.304602806442215,0.1060284954711315,14.190029555592686,0.10679443242629405
58861.94746938776,14.12395670941132,0.09421735474659658,13.99342410399354,0.09497882474517746
58863.17195918368,13.995926206376167,0.08309559329749784,13.847141096950578,0.08389127371713379
58864.3964489796,13.91748928518762,0.07291446835132384,13.75472420075727,0.0736599560995462
58865.620938775515,13.88941907998895,0.06361761956228068,13.71550595951586,0.06432017508647142
58866.84542857143,13.914457439482252,0.05536878718648848,13.7284797048987,0.055907644483121265
58868.06991836735,13.987426126478596,0.04784734965217287,13.794329644525442,0.048605571605089735
58869.29440816327,15.244825536561253,0.041550378096850124,14.184675773430913,0.04220165418699593
58870.51889795919,15.408810868324359,0.036390001562794386,14.345812265863536,0.03708207390393757
58871.74338775511,15.561991258611723,0.032430658294900806,14.500425230003852,0.033407470197390224
58872.967877551026,15.706158986341404,0.02967177580265128,14.648205544362167,0.030860483224124366
58874.19236734694,15.840212332478584,0.028028762578144087,14.788863107371073,0.02950019005379358
58875.41685714286,15.966012193059969,0.027304035394863244,14.92263925449329,0.02911406485981763
58876.64134693878,16.082950572020405,0.02738322056984018,15.049779820141444,0.029311393615660892
58877.8658367347,16.19006472700797,0.027851603554347897,15.169500688114795,0.029948013851490828
58879.09032653062,16.28835261077458,0.028596587649760696,15.282309299922412,0.03070401923816731
58880.314816326536,16.378513450105608,0.029310583428335885,15.38860414127653,0.03147232679766793
58881.53930612245,16.459475158157627,0.030093896459653095,15.489890707884353,0.03211361355673398
58882.76379591837,16.53249696470857,0.030701075496978376,15.584668452919471,0.032549192570607614
58883.98828571429,16.598320121659285,0.03120826677455483,15.672612461164093,0.03280177979758897
58885.21277551021,16.656659105963357,0.03150452668143962,15.754955634663892,0.032871512391966916
58886.43726530613,16.70827221448176,0.03167312678611475,15.832151848504592,0.032744381447769394
58887.661755102046,16.753013262840533,0.03167282663059245,15.904308389210637,0.03230309675805771
58888.88624489796,16.79195749583866,0.03155507306584095,15.971454709728746,0.03187171168642574
58890.11073469388,16.825225274558143,0.031290560675707374,16.033338282914556,0.031175563244615512
58891.3352244898,16.852383984228616,0.03091701533938395,16.092062507892226,0.030445271795400287
58892.55971428572,16.875705272942284,0.03051666429240352,16.145957901926508,0.029618698278300028
58893.78420408164,16.894518761677396,0.030135818220667396,16.194843626400377,0.028877556549498657
58895.00869387756,16.910405328795232,0.029812062630070583,16.24151229523082,0.028112444024822963
58896.233183673474,16.922944221532408,0.029374095568922107,16.284212265549733,0.02752326296951487
58897.45767346939,16.932769103511202,0.02903984191569281,16.323345409158815,0.027028199017247543
58898.68216326531,16.94070825201314,0.028744767609344492,16.359657455977285,0.026720437402637853
58899.90665306123,16.94702726190554,0.028647418932065096,16.39380038030066,0.0264830366554639
58901.13114285715,16.95119076887242,0.028511944533575133,16.4252718586876,0.026458124881162327
58902.35563265307,16.954489923254748,0.028452323474806442,16.454962807754956,0.02655342357350162
58903.580122448984,16.956691595481935,0.028492503532320503,16.48263538119417,0.02682200637057746
58904.8046122449,16.960418313632935,0.028496815866548467,16.508611575410164,0.02716821277875389
58906.02910204082,16.963657190177784,0.028651686307247244,16.53291119874569,0.027614423877964693
58907.25359183674,16.967661684522312,0.02877765054851905,16.55529250442302,0.028080141642662176
58908.47808163266,16.97353696209838,0.028941717880240043,16.576439147856142,0.028658159876322305
58909.70257142858,16.980643207725727,0.029262424162806566,16.59678243424594,0.029286492094159136
58910.927061224495,16.988751777830164,0.02956638827995866,16.61537715951912,0.03000411445535424
58912.15155102041,16.998213495614948,0.0301419246531425,16.63519714820361,0.0308126915313754
58913.37604081633,17.010590779151755,0.030916922445658034,16.651874207992236,0.03183324758510217
58914.60053061225,17.024423304349895,0.03194889227381426,16.667822249906305,0.03309426078673926
58915.82502040817,17.040082281146937,0.03345529549875812,16.68348165591621,0.03482063617428896
58917.04951020409,17.057583724163464,0.03552043212149041,16.69809400111904,0.0368557563504358
58918.274000000005,17.078410495994852,0.038131933186199014,16.711592628284322,0.03953077312106166
