MJD	FLT	FLUXCAL	FLUXCALERR	MAG	MAGERR	TELESCOPE	INSTRUMENT
58858.298	up	45726.696	2508.566	15.850	0.060	Siding Spring 1m	Sinistro
58858.300	gp	11539.016	11539.016	17.345	1.086	Siding Spring 1m	Sinistro
58858.301	rp	83193.119	2246.689	15.200	0.029	Siding Spring 1m	Sinistro
58858.309	ip	13015.898	13015.898	17.214	1.086	Siding Spring 1m	Sinistro
58858.338	gp	93530.159	1156.239	15.073	0.013	Siding Spring 1m	Sinistro
58858.340	rp	19424.279	19424.279	16.779	1.086	Siding Spring 1m	Sinistro
58858.341	ip	23390.539	23390.539	16.577	1.086	Siding Spring 1m	Sinistro
58859.049	up	36185.796	36185.796	16.104	1.086	Siding Spring 1m	Sinistro
58859.051	gp	113381.599	1382.453	14.863	0.013	Siding Spring 1m	Sinistro
58859.052	rp	8322.285	8322.285	17.699	1.086	Siding Spring 1m	Sinistro
58859.053	ip	100541.518	874.808	14.994	0.009	Siding Spring 1m	Sinistro
58859.297	gp	116789.357	1443.820	14.831	0.013	Siding Spring 1m	Sinistro
58859.298	rp	127773.691	1290.442	14.734	0.011	Siding Spring 1m	Sinistro
58859.300	ip	20393.147	20393.147	16.726	1.086	Siding Spring 1m	Sinistro
58859.689	gp	116007.566	2847.756	14.839	0.027	Siding Spring 1m	Sinistro
58859.690	rp	31152.866	31152.866	16.266	1.086	Siding Spring 1m	Sinistro
58859.691	ip	27179.587	27179.587	16.414	1.086	Siding Spring 1m	Sinistro
58860.047	up	48099.260	48099.260	15.795	1.086	Siding Spring 1m	Sinistro
58860.048	gp	15470.050	15470.050	17.026	1.086	Siding Spring 1m	Sinistro
58860.049	rp	18361.960	18361.960	16.840	1.086	Siding Spring 1m	Sinistro
58860.051	ip	18323.541	18323.541	16.842	1.086	Siding Spring 1m	Sinistro
58860.420	up	2900574944672380.000	2900574944672380.000	-11.156	1.086	Siding Spring 1m	Sinistro
58860.422	rp	16603829294647500.000	16603829294647500.000	-13.051	1.086	Siding Spring 1m	Sinistro
58861.049	up	71699.404	71699.404	15.361	1.086	Siding Spring 1m	Sinistro
58861.050	gp	209865.035	2793.270	14.195	0.014	Siding Spring 1m	Sinistro
58861.052	rp	195932.233	2176.277	14.270	0.012	Siding Spring 1m	Sinistro
58861.053	ip	180220.689	2880.388	14.361	0.017	Siding Spring 1m	Sinistro
58861.292	gp	18979.946	18979.946	16.804	1.086	Siding Spring 1m	Sinistro
58861.293	rp	194612.319	1833.701	14.277	0.010	Siding Spring 1m	Sinistro
58861.294	ip	168428.162	2433.716	14.434	0.016	Siding Spring 1m	Sinistro
58861.683	gp	35476.617	35476.617	16.125	1.086	Siding Spring 1m	Sinistro
58861.685	rp	220661.110	2552.793	14.141	0.013	Siding Spring 1m	Sinistro
58861.686	ip	36635.750	36635.750	16.090	1.086	Siding Spring 1m	Sinistro
58864.310	rp	502154.773	502154.773	13.248	1.086	Siding Spring 1m	Sinistro
58864.312	ip	301048.579	301048.579	13.803	1.086	Siding Spring 1m	Sinistro
58864.752	up	125427.011	3291.537	14.754	0.028	Siding Spring 1m	Sinistro
58864.754	gp	259044.703	3127.345	13.966	0.013	Siding Spring 1m	Sinistro
58864.755	rp	282228.666	2920.478	13.873	0.011	Siding Spring 1m	Sinistro
58864.756	ip	246279.924	2574.056	14.022	0.011	Siding Spring 1m	Sinistro
58866.302	up	111069.666	111069.666	14.886	1.086	Siding Spring 1m	Sinistro
58866.304	gp	27847.365	27847.365	16.388	1.086	Siding Spring 1m	Sinistro
58866.305	rp	35424.700	35424.700	16.127	1.086	Siding Spring 1m	Sinistro
58866.306	ip	43145.133	43145.133	15.913	1.086	Siding Spring 1m	Sinistro
58867.300	up	65500.574	1839.614	15.459	0.031	Siding Spring 1m	Sinistro
58867.301	gp	207315.911	2911.043	14.208	0.015	Siding Spring 1m	Sinistro
58867.302	rp	293646.356	1974.988	13.831	0.007	Siding Spring 1m	Sinistro
58867.304	ip	253272.389	2067.959	13.991	0.009	Siding Spring 1m	Sinistro
58868.271	up	102937.768	102937.768	14.969	1.086	Siding Spring 1m	Sinistro
58868.271	up	102937.768	102937.768	14.969	1.086	Siding Spring 1m	Sinistro
58868.273	gp	192250.506	3397.679	14.290	0.019	Siding Spring 1m	Sinistro
58868.274	rp	294441.606	2107.901	13.828	0.008	Siding Spring 1m	Sinistro
58868.275	ip	15196.481	15196.481	17.046	1.086	Siding Spring 1m	Sinistro
58869.269	up	69948.797	69948.797	15.388	1.086	Siding Spring 1m	Sinistro
58869.270	gp	170233.812	1689.432	14.422	0.011	Siding Spring 1m	Sinistro
58869.271	rp	12150.152	12150.152	17.289	1.086	Siding Spring 1m	Sinistro
58869.273	ip	214767.415	3967.602	14.170	0.020	Siding Spring 1m	Sinistro
58870.266	up	82455.170	82455.170	15.209	1.086	Siding Spring 1m	Sinistro
58870.267	gp	13889.151	13889.151	17.143	1.086	Siding Spring 1m	Sinistro
58870.268	rp	15377.984	15377.984	17.033	1.086	Siding Spring 1m	Sinistro
58870.270	ip	14616.755	14616.755	17.088	1.086	Siding Spring 1m	Sinistro
58871.264	up	100494.260	100494.260	14.995	1.086	Siding Spring 1m	Sinistro
58871.265	gp	15258.079	15258.079	17.041	1.086	Siding Spring 1m	Sinistro
58871.266	rp	18706.829	18706.829	16.820	1.086	Siding Spring 1m	Sinistro
58871.268	ip	22187.145	22187.145	16.635	1.086	Siding Spring 1m	Sinistro
58872.286	up	32008.328	32008.328	16.237	1.086	Siding Spring 1m	Sinistro
58872.287	gp	9939.062	9939.062	17.507	1.086	Siding Spring 1m	Sinistro
58872.289	rp	191852.885	3568.620	14.292	0.020	Siding Spring 1m	Sinistro
58872.290	ip	189814.004	1962.641	14.304	0.011	Siding Spring 1m	Sinistro
58873.087	up	10709.117	10709.117	17.426	1.086	Siding Spring 1m	Sinistro
58873.088	gp	95989.792	1325.592	15.045	0.015	Siding Spring 1m	Sinistro
58873.089	rp	194555.502	1269.024	14.278	0.007	Siding Spring 1m	Sinistro
58873.091	ip	177223.431	1145.044	14.378	0.007	Siding Spring 1m	Sinistro
58874.281	up	51246.007	51246.007	15.726	1.086	Siding Spring 1m	Sinistro
58874.282	gp	14758.462	14758.462	17.077	1.086	Siding Spring 1m	Sinistro
58874.284	rp	6596.726	6596.726	17.952	1.086	Siding Spring 1m	Sinistro
58874.285	ip	18096.675	18096.675	16.856	1.086	Siding Spring 1m	Sinistro
58875.253	up	13010.635	13010.635	17.214	1.086	Siding Spring 1m	Sinistro
58875.254	gp	7422.117	7422.117	17.824	1.086	Siding Spring 1m	Sinistro
58875.255	rp	8955.961	8955.961	17.620	1.086	Siding Spring 1m	Sinistro
58875.257	ip	140448.199	982.967	14.631	0.008	Siding Spring 1m	Sinistro
58876.329	up	136900.739	136900.739	14.659	1.086	Siding Spring 1m	Sinistro
58876.335	gp	11938.762	11938.762	17.308	1.086	Siding Spring 1m	Sinistro
58876.336	rp	16335.472	16335.472	16.967	1.086	Siding Spring 1m	Sinistro
58876.338	ip	28367.527	28367.527	16.368	1.086	Siding Spring 1m	Sinistro
58877.258	rp	16443.165	16443.165	16.960	1.086	Siding Spring 1m	Sinistro
58877.263	gp	12466.861	12466.861	17.261	1.086	Siding Spring 1m	Sinistro
58877.266	ip	33099.655	33099.655	16.200	1.086	Siding Spring 1m	Sinistro
58878.339	up	40420.716	40420.716	15.983	1.086	Siding Spring 1m	Sinistro
58878.340	gp	7068.284	7068.284	17.877	1.086	Siding Spring 1m	Sinistro
58878.341	rp	8232.591	8232.591	17.711	1.086	Siding Spring 1m	Sinistro
58878.343	ip	2790.943	2790.943	18.886	1.086	Siding Spring 1m	Sinistro
58881.993	up	24096.558	24096.558	16.545	1.086	Siding Spring 1m	Sinistro
58881.994	gp	9190.253	9190.253	17.592	1.086	Siding Spring 1m	Sinistro
58881.996	rp	8964.992	8964.992	17.619	1.086	Siding Spring 1m	Sinistro
58881.997	ip	4056.193	4056.193	18.480	1.086	Siding Spring 1m	Sinistro
58884.368	up	28687.338	28687.338	16.356	1.086	Siding Spring 1m	Sinistro
58884.370	gp	8090.436	8090.436	17.730	1.086	Siding Spring 1m	Sinistro
58884.371	rp	3867.884	3867.884	18.531	1.086	Siding Spring 1m	Sinistro
58884.373	ip	4568.573	4568.573	18.351	1.086	Siding Spring 1m	Sinistro
58887.382	up	10019.011	10019.011	17.498	1.086	Siding Spring 1m	Sinistro
58887.383	gp	5809.241	5809.241	18.090	1.086	Siding Spring 1m	Sinistro
58887.385	rp	5947.377	5947.377	18.064	1.086	Siding Spring 1m	Sinistro
58887.386	ip	55666.319	503.171	15.636	0.010	Siding Spring 1m	Sinistro
58891.959	up	28328.063	28328.063	16.369	1.086	Siding Spring 1m	Sinistro
58891.961	gp	10167.071	10167.071	17.482	1.086	Siding Spring 1m	Sinistro
58891.962	rp	10075.248	10075.248	17.492	1.086	Siding Spring 1m	Sinistro
58891.963	ip	14045.383	14045.383	17.131	1.086	Siding Spring 1m	Sinistro
58895.288	up	37083.544	37083.544	16.077	1.086	Siding Spring 1m	Sinistro
58895.291	gp	15271.496	15271.496	17.040	1.086	Siding Spring 1m	Sinistro
58895.292	rp	20572.615	20572.615	16.717	1.086	Siding Spring 1m	Sinistro
58895.293	ip	26628.068	26628.068	16.437	1.086	Siding Spring 1m	Sinistro
58898.377	up	16040.928	16040.928	16.987	1.086	Siding Spring 1m	Sinistro
58898.379	gp	5227.973	5227.973	18.204	1.086	Siding Spring 1m	Sinistro
58898.380	rp	6032.863	6032.863	18.049	1.086	Siding Spring 1m	Sinistro
58898.381	ip	5967.692	5967.692	18.060	1.086	Siding Spring 1m	Sinistro
58902.236	up	66583.665	66583.665	15.442	1.086	Siding Spring 1m	Sinistro
58902.238	gp	15572.451	15572.451	17.019	1.086	Siding Spring 1m	Sinistro
58902.239	rp	17911.460	17911.460	16.867	1.086	Siding Spring 1m	Sinistro
58902.240	ip	19829.665	19829.665	16.757	1.086	Siding Spring 1m	Sinistro
58906.099	up	31307.462	31307.462	16.261	1.086	Siding Spring 1m	Sinistro
58906.100	gp	11660.968	11660.968	17.333	1.086	Siding Spring 1m	Sinistro
58906.101	rp	12252.840	12252.840	17.279	1.086	Siding Spring 1m	Sinistro
58906.102	ip	12199.554	12199.554	17.284	1.086	Siding Spring 1m	Sinistro
58910.156	up	27425.842	27425.842	16.405	1.086	Siding Spring 1m	Sinistro
58910.159	gp	8357.972	8357.972	17.695	1.086	Siding Spring 1m	Sinistro
58910.160	rp	8726.779	8726.779	17.648	1.086	Siding Spring 1m	Sinistro
58910.161	ip	9780.556	9780.556	17.524	1.086	Siding Spring 1m	Sinistro
58914.263	up	17664.728	17664.728	16.882	1.086	Siding Spring 1m	Sinistro
58914.267	gp	10580.125	10580.125	17.439	1.086	Siding Spring 1m	Sinistro
58914.268	rp	9969.534	9969.534	17.503	1.086	Siding Spring 1m	Sinistro
58914.269	ip	12107.938	12107.938	17.292	1.086	Siding Spring 1m	Sinistro
58919.139	up	26409.857	26409.857	16.446	1.086	Siding Spring 1m	Sinistro
58919.142	gp	18179.967	18179.967	16.851	1.086	Siding Spring 1m	Sinistro
58919.143	rp	20219.784	20219.784	16.736	1.086	Siding Spring 1m	Sinistro
58919.144	ip	22665.875	22665.875	16.612	1.086	Siding Spring 1m	Sinistro
58923.138	up	22078.906	22078.906	16.640	1.086	Siding Spring 1m	Sinistro
58923.141	gp	9611.887	9611.887	17.543	1.086	Siding Spring 1m	Sinistro
58923.142	rp	9390.935	9390.935	17.568	1.086	Siding Spring 1m	Sinistro
58923.143	ip	10037.958	10037.958	17.496	1.086	Siding Spring 1m	Sinistro
58929.497	up	16996.502	16996.502	16.924	1.086	Siding Spring 1m	Sinistro
58929.499	gp	9832.536	9832.536	17.518	1.086	Siding Spring 1m	Sinistro
58929.500	rp	11545.213	11545.213	17.344	1.086	Siding Spring 1m	Sinistro
58929.501	ip	16361.607	16361.607	16.965	1.086	Siding Spring 1m	Sinistro
58935.618	up	61967.496	61967.496	15.520	1.086	Siding Spring 1m	Sinistro
58935.638	up	55784.498	55784.498	15.634	1.086	Siding Spring 1m	Sinistro
58935.639	gp	13176.239	13176.239	17.201	1.086	Siding Spring 1m	Sinistro
58935.640	rp	18249.911	18249.911	16.847	1.086	Siding Spring 1m	Sinistro
58935.641	ip	19825.820	19825.820	16.757	1.086	Siding Spring 1m	Sinistro
58943.459	up	75517.416	75517.416	15.305	1.086	Siding Spring 1m	Sinistro
58943.460	gp	13966.409	13966.409	17.137	1.086	Siding Spring 1m	Sinistro
58943.461	rp	25345.405	25345.405	16.490	1.086	Siding Spring 1m	Sinistro
58943.462	ip	40452.311	40452.311	15.983	1.086	Siding Spring 1m	Sinistro
58952.441	up	20715.051	20715.051	16.709	1.086	Siding Spring 1m	Sinistro
58952.442	gp	5320.014	5320.014	18.185	1.086	Siding Spring 1m	Sinistro
58952.443	rp	5881.173	5881.173	18.076	1.086	Siding Spring 1m	Sinistro
58952.444	ip	6668.334	6668.334	17.940	1.086	Siding Spring 1m	Sinistro
58959.339	gp	7223.876	7223.876	17.853	1.086	Siding Spring 1m	Sinistro
58959.340	rp	7176.473	7176.473	17.860	1.086	Siding Spring 1m	Sinistro
58959.341	ip	7910.618	7910.618	17.754	1.086	Siding Spring 1m	Sinistro
58966.346	up	16422.587	16422.587	16.961	1.086	Siding Spring 1m	Sinistro
58966.350	gp	18860.505	18860.505	16.811	1.086	Siding Spring 1m	Sinistro
58966.351	rp	17141.246	17141.246	16.915	1.086	Siding Spring 1m	Sinistro
58966.352	ip	20345.720	20345.720	16.729	1.086	Siding Spring 1m	Sinistro
58974.110	up	30975.902	30975.902	16.272	1.086	Siding Spring 1m	Sinistro
58974.111	gp	13583.587	13583.587	17.167	1.086	Siding Spring 1m	Sinistro
58974.112	rp	13693.913	13693.913	17.159	1.086	Siding Spring 1m	Sinistro
58974.113	ip	17996.454	17996.454	16.862	1.086	Siding Spring 1m	Sinistro
58865.531	orange	201557.981	20049.310	14.239	0.108	ATLAS	HKO
53682.006	V	3868.065	189.302	18.531	0.053	Swift	UVOT
