event,time,flux,e_flux,upperlimit,energy,instrument,telescope,source
SN1987A,54648.0,5.0180E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,54648.0,4.940E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,54648.0,6.0560E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,54849.0,5.5580E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,54849.0,4.190E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,54849.0,6.550E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,54862.0,5.930E-13,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,54862.0,5.4710E-12,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,55018.0,7.290E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55018.0,5.170E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55018.0,6.1360E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55176.0,6.2380E-12,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,55176.0,7.090E-13,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,55283.0,5.610E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55283.0,6.3830E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55283.0,7.7200E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55467.0,8.2240E-12,,,"0.5,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55467.0,5.750E-13,,,"3.0,8.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55467.0,6.8630E-12,,,"0.5,2.0",Chandra ACIS/HETG,,"2016ApJ...829...40F,SNaX"
SN1987A,55542.0,8.350E-13,,,"3.0,8.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
SN1987A,55542.0,6.9870E-12,,,"0.5,2.0",XMM-Newton EPIC-pn,,"2016ApJ...829...40F,SNaX"
