JD Phase(days) Phase_err(days) Lbol(erg/s) Lbol_err(erg/s)
2.450837799999999814e+06 3.679999999981373549e+01 4.000000000000000000e+00 2.886143032526124427e+41 1.332438399113977940e+41
2.450846700000000186e+06 4.570000000018626451e+01 4.000000000000000000e+00 3.484744974806623138e+41 1.608600745771348216e+41
2.450898500000000000e+06 9.750000000000000000e+01 4.000000000000000000e+00 5.081249162082135589e+41 2.346359566260138197e+41
2.450939600000000093e+06 1.386000000000931323e+02 4.000000000000000000e+00 1.706103336941536582e+41 7.895527687782567468e+40
2.450962500000000000e+06 1.615000000000000000e+02 4.000000000000000000e+00 1.599847856216271399e+41 7.388775189919411260e+40
2.450991500000000000e+06 1.905000000000000000e+02 4.000000000000000000e+00 1.146455362988537425e+41 5.299559948213714521e+40
